gene,SJRHB046412_C1,SJRHB046412_C2,SJRHB046412_C3,SJRHB046412_C4,SJRHB046412_C5,SJRHB046412_C6,SJRHB046412_C7,SJRHB046412_C8,SJRHB046412_C9
CFB,0,1,2,0,3,1,0,2,3
CFC1,0,0,0,0,0,0,0,0,0
CFC1B,0,0,0,0,0,0,0,0,0
CFD,11,10,6,4,3,4,6,3,4
CFDP1,902,881,1185,577,672,497,466,471,579
CFH,5121,9831,2278,2647,2796,6342,5892,3702,4923
CFHR1,51,111,24,28,15,46,47,36,26
CFHR2,0,0,0,0,0,0,0,0,0
CFHR3,5,12,4,5,4,8,11,11,5
CFHR4,2,3,0,3,4,1,2,3,3
CFHR5,0,0,0,0,0,0,0,0,0
CFI,13,28,7,5,1,21,10,5,9
CFL1,26246,22758,28931,17861,20814,18801,18597,17883,21471
CFL2,7014,6366,7369,5571,6220,7877,6444,6299,7688
CFLAR,201,174,281,279,261,175,175,177,234
CFLAR-AS1,2,2,2,1,1,1,6,1,2
CFP,87,128,108,112,125,132,100,106,115
CFTR,3,0,0,1,2,0,1,3,0
CGA,0,1,3,0,0,0,0,0,1
CGB,0,0,0,0,1,0,0,0,0
CGB1,0,0,0,0,0,0,0,0,1
CGB2,2,1,0,1,0,0,0,0,1
CGB5,2,0,0,0,0,0,1,2,0
CGB7,11,13,3,2,0,10,3,5,2
CGB8,0,2,0,0,0,0,1,0,3
CGGBP1,25748,26937,29100,17070,19879,17712,14226,17272,21519
CGN,1140,1044,1467,460,605,611,566,551,571
CGNL1,1746,2220,1165,912,1049,1373,1373,1086,1293
CGREF1,107,103,95,46,24,37,31,25,38
CGRRF1,678,734,729,475,559,568,421,499,587
CH17-132F21.1,18,11,20,7,15,12,14,10,8
CH25H,2,1,2,5,2,6,6,4,3
CHAC1,119,99,198,149,150,82,72,147,146
CHAC2,269,280,251,222,247,243,213,223,249
CHAD,0,2,1,1,0,1,0,0,0
CHADL,38,40,33,36,45,29,38,44,35
CHAF1A,6217,5325,9271,5223,6114,3786,3724,4826,5482
CHAF1B,1108,905,1659,986,1079,731,691,760,866
CHAMP1,3658,3050,4661,3265,3759,2562,2544,3087,3586
CHAT,0,1,0,0,0,0,0,0,0
CHCHD1,1606,1449,1910,901,1010,927,899,901,1053
CHCHD10,1884,1316,2813,940,1175,947,910,867,1006
CHCHD2,10130,7973,11389,8493,9626,6968,6843,8527,9693
CHCHD3,6127,5454,7114,4716,5638,4622,4350,4530,5370
CHCHD4,1186,984,1434,854,984,763,732,780,907
CHCHD5,757,706,1028,629,734,521,550,627,734
CHCHD6,506,445,678,361,448,336,322,374,397
CHCHD7,273,284,344,279,281,235,192,233,275
CHD1,11908,11573,15570,9383,10757,8572,7672,8366,10565
CHD1L,3824,3741,5403,3366,3769,2685,2571,2668,3361
CHD2,16564,16755,20644,16452,18749,12355,11161,14660,17600
CHD3,28427,26546,36184,16621,19436,16268,16302,16104,19563
CHD4,32365,30219,39101,23939,27737,23087,22323,23857,28951
CHD5,179,259,84,108,109,145,132,88,126
CHD6,24098,27088,27071,17250,18787,16231,14656,16021,18318
CHD7,42869,33700,64813,42780,48107,31907,29689,38388,44100
CHD8,22618,21053,28796,16115,18293,15636,14918,15785,18368
CHD9,8829,10113,10867,6055,6753,6872,5740,5475,6908
CHDC2,2,4,0,2,1,3,4,1,1
CHDH,34,33,22,15,14,36,28,24,18
CHEK1,5434,4492,7475,4662,5020,4041,3474,3787,4618
CHEK2,2934,2632,3357,1834,2167,1910,1739,1979,2259
CHERP,4633,4205,5839,4076,5113,3503,3516,4245,4623
CHFR,2107,2138,2827,1697,1965,1603,1614,1770,2079
CHGA,8,1,8,2,2,3,3,3,3
CHGB,16,9,7,0,2,2,4,3,4
CHI3L1,1,0,2,0,1,0,0,0,0
CHI3L2,8,2,7,21,19,16,9,19,11
CHIA,1,0,0,0,0,0,0,0,0
CHIC1,476,644,561,487,461,432,319,398,525
CHIC2,803,725,1001,507,614,444,402,499,490
CHID1,3856,4324,4186,2376,2703,2636,2640,2630,2956
CHIT1,12,7,8,2,3,8,4,4,5
CHKA,2860,2740,3770,1886,2216,1774,1666,1719,2028
CHKB,21,26,37,18,8,10,16,13,19
CHKB-AS1,82,67,99,36,54,28,23,33,33
CHKB-CPT1B,0,0,0,0,0,0,0,0,0
CHL1,108,40,177,38,51,32,31,42,70
CHL1-AS1,0,0,0,0,0,0,0,1,1
CHL1-AS2,0,1,2,0,2,2,0,2,0
CHM,1805,1896,2068,1428,1649,1352,1120,1369,1736
CHML,2938,2322,4478,2727,2907,2220,1571,2284,2962
CHMP1A,3284,2913,3603,2181,2669,2041,2195,2242,2469
CHMP1B,3470,4043,3709,2254,2601,2706,2336,2392,2772
CHMP2A,2387,2425,2801,1902,1935,1837,1787,1821,2042
CHMP2B,6209,7950,4533,4859,5410,4907,3720,5371,6775
CHMP3,4192,3460,4908,2501,3023,2734,2439,2474,3115
CHMP4A,312,311,452,141,179,157,156,149,123
CHMP4B,3587,3657,3936,3075,3668,3030,3010,3332,3640
CHMP4C,11,8,3,0,0,3,2,1,1
CHMP5,2009,1779,2315,1464,1579,1333,1198,1363,1753
CHMP6,2341,2364,2608,1283,1576,1506,1455,1507,1665
CHMP7,3406,3387,3804,2119,2442,2362,2339,2158,2728
CHN1,1940,2190,2060,1575,1712,1836,1682,1598,1947
CHN2,1624,1447,2329,545,687,633,550,477,584
CHODL,60,19,104,29,32,17,16,27,33
CHODL-AS1,1,0,0,0,0,0,0,0,0
CHORDC1,4409,4199,5177,3418,3859,2793,2540,2958,3784
CHP1,4597,3913,5023,4048,4704,3865,3406,4021,4635
CHP2,0,0,0,1,0,1,1,0,0
CHPF,3575,4854,2920,1844,2377,3500,3296,2634,2879
CHPF2,3137,4769,2652,2112,2572,3888,3702,2767,3172
CHPT1,1745,1722,2176,1302,1350,1075,888,1184,1242
CHRAC1,2793,2514,3267,1787,2092,1690,1551,1732,2007
CHRD,980,1061,1627,916,960,701,708,821,926
CHRDL1,3,0,3,1,4,3,3,0,2
CHRDL2,0,0,1,0,0,2,0,1,0
CHRFAM7A,9,8,6,10,8,9,5,6,7
CHRM1,23,28,4,0,0,3,1,4,0
CHRM2,0,1,0,0,0,1,3,0,0
CHRM3,362,369,329,79,131,386,421,182,208
CHRM3-AS1,0,0,0,0,0,0,0,0,0
CHRM3-AS2,0,0,0,0,0,1,0,0,0
CHRM4,22,66,22,32,21,35,48,30,41
CHRM5,2,0,3,1,2,0,1,0,2
CHRNA1,21021,21109,24747,17483,21747,18768,19481,18627,23731
CHRNA10,155,152,183,142,181,115,146,147,205
CHRNA2,0,0,0,0,0,0,0,0,0
CHRNA3,40,56,15,12,19,41,40,22,19
CHRNA4,8,1,14,1,6,0,0,1,1
CHRNA5,1324,1635,1414,1406,1523,1198,1044,1165,1475
CHRNA6,2,0,10,1,0,0,1,0,1
CHRNA7,3,0,9,22,17,9,6,10,24
CHRNA9,175,293,84,74,60,140,105,65,93
CHRNB1,6776,5745,9519,6271,7257,5058,5540,5786,6915
CHRNB2,15,10,32,12,12,9,5,9,11
CHRNB3,3,0,0,1,1,0,1,0,0
CHRNB4,0,1,3,0,0,0,0,0,0
CHRND,11917,6097,20182,9046,10719,4910,5312,8010,9280
CHRNE,175,333,173,83,84,113,128,84,105
CHRNG,2457,1422,4511,1734,1967,1212,1195,1715,1882
CHST1,5,2,4,0,0,1,0,2,1
CHST10,1290,1248,1642,1015,1282,908,850,949,1018
CHST11,2636,1314,3725,1265,1479,829,918,1062,1354
CHST12,1013,1004,1119,589,676,550,569,658,677
CHST13,1,4,3,0,0,0,3,1,1
CHST14,2168,2273,2434,1310,1618,1527,1388,1469,1805
CHST15,2009,2535,2121,794,891,1564,1409,919,1193
CHST2,1040,1306,827,378,419,535,494,425,529
CHST3,3145,5082,1508,1108,1248,3638,3310,1626,1923
CHST4,6,2,5,0,0,4,1,0,5
CHST5,6,4,3,9,4,7,3,11,4
CHST6,5,3,3,0,1,1,3,0,2
CHST7,56,102,27,18,21,44,32,26,28
CHST8,1310,556,2182,1551,2014,367,444,1298,1496
CHST9,1371,1245,1826,551,561,550,558,573,663
CHSY1,11545,14113,12146,7852,9365,10428,9493,8875,10805
CHSY3,611,848,467,337,364,648,657,436,522
CHTF18,7067,7329,11678,5696,6350,4359,4458,5621,6186
CHTF8,4803,4276,5938,3041,3678,3037,2978,3159,3587
CHTOP,6340,5792,8958,4245,4631,3922,3628,3940,4735
CHUK,3156,3161,3911,2565,2837,2726,2291,2233,2919
CHURC1,2402,2133,3068,1385,1578,1544,1295,1366,1505
CHURC1-FNTB,0,0,0,0,0,0,0,0,0
CIAO1,4666,4377,5955,3146,3702,2927,2679,3020,3673
CIAPIN1,2112,2047,2471,1351,1440,1586,1436,1302,1674
CIB1,623,711,619,405,460,611,580,428,572
CIB2,449,349,377,403,470,322,321,420,418
CIB3,3,3,5,3,1,1,2,2,2
CIB4,0,0,0,0,0,0,0,0,0
CIC,10800,11719,11799,6473,7898,7760,7994,7386,8453
CIDEA,2,0,0,0,0,0,0,0,0
CIDEB,8,14,15,6,10,4,6,6,14
CIDEC,44,8,54,17,15,8,9,13,13
CIITA,0,1,6,4,1,1,3,2,0
CILP,41,57,28,5,8,9,11,9,7
CILP2,134,152,162,88,103,114,72,93,81
CINP,1536,1225,1868,1057,1202,1044,974,1056,1243
CIR1,1511,1581,1821,1264,1387,1122,1001,1153,1326
CIRBP,18761,15980,26635,7670,8294,7389,7158,7059,7929
CIRBP-AS1,332,325,382,171,183,186,196,197,225
CIRH1A,3797,3366,5111,3503,4041,2773,2716,3111,3540
CISD1,1239,1043,1674,943,1081,924,705,834,1131
CISD2,2689,2236,3110,2374,2777,2208,1808,2471,2898
CISD3,618,700,501,548,607,647,607,591,658
CISH,205,168,336,175,171,111,134,159,183
CIT,12397,12684,14529,8978,9769,10184,9726,9518,10587
CITED1,338,136,573,228,296,97,119,197,215
CITED2,1578,2053,1893,1528,1636,3159,2595,2062,2329
CITED4,0,0,0,0,0,0,0,0,0
CITF22-1A6.3,77,86,120,75,71,52,63,75,67
CITF22-24E5.1,0,0,0,0,0,0,0,0,0
CITF22-49D8.1,80,35,106,11,16,14,9,20,14
CITF22-92A6.1,29,30,61,21,19,23,27,21,25
CIZ1,7701,7571,8974,6310,7713,6500,6468,6999,8099
CKAP2,12204,10468,12556,8102,9175,8329,7524,8634,10810
CKAP2L,5843,5296,5009,3570,4173,4279,4111,4129,4934
CKAP4,20823,18752,28658,7677,9255,11844,11232,8434,10089
CKAP5,32873,29168,37485,26434,29724,25121,23478,28148,32752
CKB,5031,2334,7513,4350,4724,3938,3875,5018,4861
CKLF,273,312,295,129,178,172,147,154,129
CKLF-CMTM1,2,1,3,2,1,1,2,2,2
CKM,14,0,13,4,3,4,4,6,8
CKMT1A,8,2,11,1,0,1,2,0,1
CKMT1B,14,4,8,6,0,3,1,1,2
CKMT2,3,2,0,1,2,1,1,4,1
CKMT2-AS1,1787,1849,2241,1226,1343,1185,1123,913,1032
CKS1B,5881,5066,6450,3794,4397,4311,3918,4029,4813
CKS2,4222,3840,3741,3067,3459,3619,2941,3684,4267
CLASP1,14455,13362,17566,12972,14381,10978,9965,12218,14082
CLASP2,5907,5285,7504,4370,4865,4046,3717,4029,4830
CLASRP,3314,4160,4872,3414,3773,2968,2903,3124,3612
CLC,1,0,0,1,0,0,0,1,1
CLCA1,1,1,0,0,0,0,0,0,0
CLCA2,0,0,1,1,8,1,2,3,3
CLCA4,0,0,0,0,0,0,1,0,0
CLCC1,6083,6973,6838,4353,4836,4247,3857,3742,4461
CLCF1,174,282,116,27,21,135,107,49,53
CLCN1,6,10,11,38,30,27,17,21,25
CLCN2,554,714,740,688,784,598,519,606,662
CLCN3,3298,3423,3930,2545,2893,2801,2408,2501,3064
CLCN4,2843,2876,3008,1728,2043,1958,1766,1777,2043
CLCN5,44022,51331,49587,44385,46006,40552,34705,39324,44282
CLCN6,4256,5168,5457,2522,2928,2801,2480,2587,2881
CLCN7,6460,6741,8543,3566,4018,3466,3266,3644,4184
CLCNKA,28,12,80,5,4,4,1,10,5
CLCNKB,0,1,0,1,0,1,0,0,0
CLDN1,10,5,9,8,8,15,7,14,28
CLDN10,1,0,2,1,0,0,0,1,0
CLDN10-AS1,0,0,0,0,0,0,0,0,0
CLDN11,28,42,14,28,29,29,43,28,31
CLDN12,2473,2898,2316,1735,1761,2277,1763,1839,2187
CLDN14,2,0,0,0,0,0,0,0,0
CLDN15,1221,1335,1806,675,759,616,590,632,764
CLDN16,0,0,0,0,0,0,0,2,1
CLDN17,0,0,0,0,0,0,0,0,0
CLDN18,0,5,2,3,3,0,1,0,0
CLDN19,1,1,1,8,6,2,1,6,1
CLDN2,0,2,0,0,0,1,0,1,1
CLDN20,5,8,11,17,8,7,7,12,7
CLDN22,1,0,0,2,0,3,0,0,1
CLDN23,0,0,0,0,0,0,0,0,0
CLDN24,0,0,0,0,0,0,0,0,1
CLDN25,0,0,0,1,0,0,0,0,0
CLDN3,1,0,0,0,0,1,4,0,0
CLDN4,50,67,57,23,24,37,25,22,35
CLDN5,6,3,6,1,2,1,2,1,2
CLDN6,14,5,20,1,7,5,3,8,14
CLDN7,1,1,0,1,0,0,0,0,0
CLDN8,0,0,0,0,0,0,0,0,0
CLDN9,2,0,2,1,0,0,1,0,0
CLDND1,2884,3701,2712,2609,2788,2714,2224,2186,2889
CLDND2,36,39,84,16,23,19,15,21,25
CLEC10A,0,0,1,0,0,0,0,0,1
CLEC11A,15,2,27,4,8,3,1,8,8
CLEC12A,0,0,0,0,0,0,0,0,0
CLEC12B,0,0,0,0,0,0,0,0,0
CLEC14A,355,240,457,305,317,196,193,270,290
CLEC16A,6229,5433,8644,3082,3602,3242,3262,3135,3570
CLEC17A,0,0,0,0,0,0,1,0,0
CLEC18A,28,24,39,36,19,18,22,13,19
CLEC18B,37,34,65,16,20,12,22,10,16
CLEC18C,18,20,20,15,17,13,7,12,9
CLEC19A,1,1,6,1,3,3,1,2,0
CLEC1A,0,0,0,0,0,0,0,0,0
CLEC1B,0,0,0,0,0,0,0,0,0
CLEC2A,0,1,0,0,0,1,1,1,0
CLEC2B,0,0,0,0,0,0,0,0,0
CLEC2D,574,626,641,346,394,341,288,253,285
CLEC2L,0,0,0,0,0,1,0,0,0
CLEC3A,0,0,0,0,0,0,0,0,0
CLEC3B,11,12,5,29,13,10,11,13,12
CLEC4A,67,88,94,56,59,59,56,45,47
CLEC4C,0,0,0,0,0,0,1,0,1
CLEC4D,0,5,4,4,6,0,0,4,2
CLEC4E,0,0,0,0,0,0,0,0,0
CLEC4F,164,142,256,83,59,63,50,58,66
CLEC4G,0,0,0,0,0,0,0,0,0
CLEC4M,0,0,0,0,1,0,0,0,0
CLEC5A,0,0,0,0,0,0,0,0,0
CLEC6A,4,5,10,1,3,4,1,5,0
CLEC7A,1,4,2,0,1,0,0,0,0
CLEC9A,0,0,0,0,0,0,0,0,0
CLECL1,0,1,0,0,0,0,0,0,0
CLGN,1757,1397,2515,825,826,742,604,691,791
CLHC1,1412,1649,1643,765,860,958,774,680,818
CLIC1,4500,4487,4175,3241,3754,4978,4836,3776,4788
CLIC2,1,3,0,0,0,1,2,2,3
CLIC3,0,0,0,1,1,3,2,1,3
CLIC4,11114,12788,10362,10995,12224,11686,9416,11079,13720
CLIC5,1,1,1,3,0,4,0,2,1
CLIC6,0,0,0,0,0,0,0,0,0
CLINT1,7748,7688,8881,4863,5448,5373,5107,4695,5573
CLIP1,7592,10325,6740,4047,4495,7527,6695,5016,5966
CLIP2,3171,3096,3663,2569,3091,2468,2528,2637,3059
CLIP3,3040,3712,2508,1816,2296,2438,2136,2279,2398
CLIP4,2420,2679,3187,1435,1556,1275,1138,1308,1482
CLK1,4708,4647,6188,4449,4709,3269,2820,3371,4067
CLK2,5590,6048,8613,3966,4324,3959,3721,3874,4487
CLK3,2561,2235,3455,1553,1931,1441,1340,1599,1737
CLK4,1997,1974,2470,1007,1087,1080,923,951,1103
CLLU1,2,2,1,2,2,1,1,2,4
CLLU1OS,2,1,1,1,6,0,1,2,1
CLMN,8781,7288,11785,4985,5892,3352,3148,3852,4543
CLMP,0,8,4,0,0,3,1,1,1
CLN3,1150,1321,1141,594,647,713,658,647,669
CLN5,1398,2238,965,447,502,903,656,531,660
CLN6,4365,3961,6145,3314,3734,2685,2894,2786,3353
CLN8,2014,2130,2243,1656,1972,1351,1302,1588,1827
CLNK,2,0,5,0,0,1,2,1,2
CLNS1A,7151,6059,9197,5473,6220,4670,4460,4923,5835
CLOCK,7208,7749,7924,5332,6251,6074,5240,5212,6590
CLP1,1710,1419,2182,1201,1297,1066,1103,1070,1381
CLPB,2417,2031,3207,1620,2046,1581,1611,1629,1951
CLPP,1247,940,1599,1032,1166,852,888,1080,1154
CLPS,0,0,0,0,0,0,0,0,0
CLPSL1,0,0,1,0,0,0,0,0,0
CLPSL2,0,4,0,0,0,0,0,1,0
CLPTM1,9316,9917,9677,6476,7664,7458,7175,6946,7951
CLPTM1L,5203,4899,6276,4135,4780,3823,3971,4134,4946
CLPX,3445,3294,4002,2072,2442,2085,1992,2149,2483
CLRN1,0,0,0,0,2,0,0,2,0
CLRN1-AS1,1,1,2,4,1,1,2,2,1
CLRN2,2,0,0,0,0,0,0,0,0
CLRN3,0,0,0,0,0,0,0,0,0
CLSPN,11872,10724,15205,11487,13105,9388,9500,9516,11790
CLSTN1,12474,15572,12828,9297,10682,12125,10971,10381,11727
CLSTN2,5028,4068,4179,782,1035,2027,1866,1135,1501
CLSTN2-AS1,15,12,10,10,14,8,4,4,11
CLSTN3,24,43,27,5,10,18,20,9,15
CLTA,7625,6587,8605,4450,5013,4644,4541,4705,5562
CLTB,531,519,547,426,471,495,494,460,472
CLTC,46134,49928,47456,38743,43743,41036,37164,39064,47531
CLTCL1,2920,2614,3983,1191,1331,1195,1150,1101,1333
CLU,78,77,39,3,6,51,39,12,24
CLUAP1,2371,2062,3338,1085,1249,1025,969,957,1100
CLUH,7120,6276,9677,6193,7206,5326,5296,6375,7018
CLUL1,9,29,1,3,1,2,0,0,1
CLVS1,179,123,347,68,86,76,50,71,65
CLVS2,27,15,32,55,53,39,21,54,37
CLYBL,133,135,160,101,99,110,96,84,117
CLYBL-AS1,0,0,0,0,0,0,0,0,0
CLYBL-AS2,0,0,1,0,0,0,1,0,0
CMA1,1,0,0,0,0,0,0,0,0
CMAS,1799,1835,2081,1537,1828,1465,1283,1472,1888
CMBL,2,1,4,5,2,0,3,2,1
CMC1,1091,912,1347,765,755,677,523,567,664
CMC2,1735,1553,1981,1124,1255,1081,1007,978,1297
CMC4,0,0,0,0,0,0,0,0,0
CMIP,4993,3703,6831,2960,3428,2499,2499,2966,3277
CMKLR1,1,0,0,0,0,0,0,0,0
CMP21-97G8.1,4,8,9,5,1,0,4,1,2
CMP21-97G8.2,4,2,0,0,1,0,0,0,0
CMPK1,4842,5395,4733,4357,4954,5253,4033,4624,5685
CMPK2,55,67,44,25,37,37,35,33,45
CMSS1,2977,3535,2866,3166,3636,3810,3456,3204,3667
CMTM1,289,291,358,173,209,188,180,194,236
CMTM2,13,13,21,27,21,15,19,15,19
CMTM3,1930,2475,1515,1047,1251,1822,1716,1312,1569
CMTM4,2557,2644,3179,2077,2228,1776,1680,1876,2213
CMTM5,0,1,0,0,0,0,0,0,1
CMTM6,2422,2783,2368,1667,2044,2148,1823,1646,2231
CMTM7,799,629,1133,743,869,542,620,651,753
CMTM8,152,132,149,119,159,94,123,131,122
CMTR1,3538,3451,4613,2545,2892,2388,2353,2456,2898
CMTR2,1718,1510,2090,967,1161,921,780,953,1091
CMYA5,206,291,271,248,252,203,182,188,212
CNBD1,3,4,2,2,2,5,4,1,1
CNBD2,37,58,60,47,54,49,35,39,45
CNBP,12976,10875,15535,10965,12639,9298,8219,10509,12591
CNDP1,9,5,16,31,29,15,11,19,14
CNDP2,11126,10175,14578,7517,8878,6603,6619,6921,8306
CNEP1R1,708,708,842,461,520,463,370,445,500
CNFN,1,1,0,0,0,0,3,0,1
CNGA1,5,0,5,3,0,0,1,0,2
CNGA2,0,0,0,0,0,0,0,0,0
CNGA3,27,35,18,0,0,1,0,0,2
CNGA4,18,12,17,4,7,6,2,4,7
CNGB1,0,0,1,0,0,0,0,0,0
CNGB3,0,1,0,0,1,2,3,0,0
CNIH1,3402,3614,3588,2425,2690,2726,2285,2374,2875
CNIH2,486,580,373,402,504,439,459,428,456
CNIH3,113,112,155,57,54,57,47,50,53
CNIH4,2717,2552,3106,1476,1704,1710,1494,1511,1632
CNKSR1,116,135,148,168,178,132,117,145,164
CNKSR2,268,330,255,307,331,383,305,288,322
CNKSR3,18069,17954,22768,7908,8835,11390,9579,7426,8741
CNN1,51,116,11,9,9,137,136,46,50
CNN2,9036,7058,10960,5331,6804,5897,6265,5403,6805
CNN3,22771,20889,25518,17963,22698,18175,17853,17821,23274
CNNM1,112,140,217,39,58,86,87,56,73
CNNM2,3276,4499,3029,1697,1793,2366,2043,1652,1860
CNNM3,1752,1844,2286,1269,1417,1057,1119,1199,1415
CNNM4,858,870,951,822,861,775,728,763,848
CNOT1,27437,24551,33330,22369,25704,20085,18945,21595,25192
CNOT10,2478,2339,3114,1694,1938,1720,1489,1531,1779
CNOT10-AS1,0,0,0,1,0,0,0,0,1
CNOT11,3548,3308,4355,2575,2916,2435,2284,2481,2998
CNOT2,13585,15787,14696,7571,8835,10652,9094,7383,9070
CNOT3,8399,8315,9785,6826,8047,6058,6285,6918,7910
CNOT4,3933,3968,4676,3293,3787,3241,2843,3108,3621
CNOT6,7533,6933,9114,6753,7556,6005,5143,6105,7572
CNOT6L,6475,5988,7207,6338,6892,5015,4002,5807,6804
CNOT7,11507,10183,13757,9533,11116,8200,7044,8894,11029
CNOT8,4125,3897,4408,2412,2844,2480,2200,2349,2982
CNP,11879,9862,14711,7050,8264,6017,6269,6611,7719
CNPPD1,1646,1535,1963,1219,1476,1157,1120,1313,1480
CNPY1,9,39,8,0,0,0,0,1,0
CNPY2,988,1319,1261,618,658,694,631,528,688
CNPY3,1937,1946,2240,1225,1544,1360,1336,1334,1490
CNPY4,1249,1618,1218,705,809,946,820,753,871
CNR1,443,355,766,494,456,530,375,522,533
CNR2,14,2,6,5,1,2,3,2,3
CNRIP1,2168,2739,2000,914,1020,1454,1399,1132,1336
CNST,2852,2462,3981,1595,1818,1596,1396,1561,1788
CNTD1,5,11,8,3,1,4,3,8,4
CNTD2,17,16,20,75,52,59,29,55,41
CNTF,209,208,305,194,267,153,165,187,217
CNTFR,411,118,846,82,97,65,101,82,83
CNTFR-AS1,0,0,0,0,0,0,0,0,0
CNTLN,3590,3545,4552,2568,2880,2416,2145,2179,2602
CNTN1,11,0,11,0,0,0,0,0,1
CNTN2,1,2,1,1,0,1,0,1,1
CNTN3,731,1333,462,511,563,852,682,596,725
CNTN4,1346,1658,1273,544,635,1038,878,616,720
CNTN4-AS1,0,2,0,0,0,1,0,0,0
CNTN4-AS2,0,0,0,1,0,0,0,1,0
CNTN5,1351,2421,545,236,258,1384,1086,475,593
CNTN6,287,351,174,19,33,76,67,43,59
CNTNAP1,1924,2426,2677,1370,1486,1775,1796,1498,1623
CNTNAP2,1,0,4,0,1,10,4,1,1
CNTNAP3,1655,2458,1298,561,557,696,581,636,673
CNTNAP3B,161,168,193,93,88,55,47,70,76
CNTNAP4,0,0,0,0,0,0,0,0,0
CNTNAP5,1,0,0,0,0,0,0,0,0
CNTRL,6461,6632,7309,5855,6424,6030,5389,6110,7117
CNTROB,4806,4496,6766,2992,3266,3076,3000,3116,3554
COA1,5886,5890,7609,5327,5806,4255,3903,4413,4973
COA3,2008,1832,2165,1388,1591,1371,1314,1360,1603
COA4,2368,2780,2617,1422,1613,1879,1798,1418,1740
COA5,1363,1275,1859,969,1031,760,672,811,940
COA6,351,288,457,303,337,256,203,302,325
COASY,4494,4771,4900,2779,3242,3379,3277,3016,3527
COBL,2006,898,3672,2064,2336,657,596,1691,1909
COBLL1,1606,1350,2129,1652,2140,1527,1559,1631,2211
COCH,820,1270,390,164,147,742,613,253,326
COG1,2083,2143,2390,1458,1705,1467,1367,1388,1573
COG2,4855,3955,6002,3308,3725,2484,2346,2805,3397
COG3,2542,2703,2998,1817,1914,1867,1699,1779,1998
COG4,3786,3322,4749,2000,2405,2142,2087,2159,2328
COG5,3448,4067,3668,2817,3198,3309,2874,2887,3450
COG6,1684,1681,1775,1080,1158,1347,1058,1085,1239
COG7,2116,2167,2518,1385,1502,1348,1264,1281,1332
COG8,1639,1449,2122,974,1120,862,777,974,1087
COIL,2596,2835,2689,1466,1836,1802,1873,1537,2000
COL10A1,0,1,0,0,0,1,0,0,0
COL11A1,0,0,1,0,0,0,0,0,0
COL11A2,170,310,237,158,204,155,158,152,181
COL12A1,5272,8492,3035,1287,1780,7310,6414,2685,3430
COL13A1,64,27,109,6,17,7,5,2,10
COL14A1,888,368,1505,444,522,200,240,360,482
COL15A1,147,225,62,62,67,315,300,143,199
COL16A1,1390,2224,908,459,525,1103,1075,653,709
COL17A1,0,0,2,1,0,1,2,1,0
COL18A1,7577,9312,9506,1533,1862,4319,3837,2499,2645
COL18A1-AS1,117,12,275,2,6,3,3,5,3
COL18A1-AS2,15,2,37,1,0,2,3,3,1
COL19A1,1051,1594,850,477,551,703,724,657,874
COL1A1,5758,10640,1110,197,197,6558,4805,2094,2253
COL1A2,79,157,78,98,124,118,99,114,130
COL20A1,372,61,1276,110,97,53,30,78,99
COL21A1,162,205,97,78,90,116,84,82,111
COL22A1,594,189,1065,67,54,133,85,73,75
COL23A1,10,13,16,3,7,6,7,6,10
COL24A1,804,1174,708,1231,1267,1058,937,1061,1129
COL25A1,191,32,200,18,15,28,31,41,38
COL27A1,2061,3476,1382,882,1061,1946,1906,1264,1569
COL28A1,137,57,186,42,69,31,28,46,51
COL2A1,16035,16503,22620,3052,3198,5375,4895,3581,3873
COL3A1,127545,286160,17895,24165,27666,187322,154195,69619,82639
COL4A1,34563,57933,21391,11613,13520,27443,23769,16790,20673
COL4A2,41650,62852,33037,16683,19902,32744,30408,22433,26392
COL4A2-AS1,8,8,8,1,2,10,4,0,2
COL4A2-AS2,4,7,5,0,3,0,0,1,2
COL4A3,4,3,2,9,3,2,5,6,3
COL4A3BP,2870,2792,3415,1928,2100,2221,1818,1792,2216
COL4A4,56,63,22,30,23,59,52,47,69
COL4A5,1,0,1,0,0,1,0,0,0
COL4A6,2,0,0,0,0,0,0,1,0
COL5A1,42086,73245,22664,10000,11767,47616,40686,20678,23509
COL5A1-AS1,3,1,7,2,0,3,0,4,0
COL5A2,1334,1800,748,372,434,679,601,462,590
COL5A3,1269,2637,355,20,25,2497,1791,548,565
COL6A1,1290,1973,1130,63,81,398,362,167,180
COL6A2,8410,12320,6784,3005,3579,7166,6582,4470,5007
COL6A3,3674,7371,703,14,18,1301,737,320,305
COL6A5,7,17,1,0,0,2,6,3,1
COL6A6,1764,3577,337,70,87,885,716,243,284
COL7A1,473,823,558,328,281,459,383,254,327
COL8A1,11,20,17,6,8,8,0,6,7
COL8A2,142,270,43,31,43,135,154,82,65
COL9A1,219,180,381,80,80,106,79,82,73
COL9A2,56,80,56,23,26,51,42,14,38
COL9A3,15,18,9,32,29,36,41,39,24
COLCA1,0,0,0,1,0,1,0,0,2
COLCA2,1,2,0,0,0,0,0,0,1
COLEC10,0,2,0,0,0,1,0,0,0
COLEC11,14,6,7,28,18,13,8,17,26
COLEC12,279,522,106,80,79,255,215,124,125
COLGALT1,9251,11100,9149,6872,8054,7459,7428,7079,8231
COLGALT2,61,49,67,2,16,24,24,10,19
COLQ,443,453,660,360,435,342,325,285,331
COMMD1,1768,1609,2228,1584,1809,1418,1330,1381,1705
