gene,SJRHB046412_C1,SJRHB046412_C2,SJRHB046412_C3,SJRHB046412_C4,SJRHB046412_C5,SJRHB046412_C6,SJRHB046412_C7,SJRHB046412_C8,SJRHB046412_C9
XAGE2,0,0,0,0,0,0,0,0,0
XAGE2B,0,0,1,0,0,0,0,1,0
XAGE3,0,0,1,0,0,0,0,0,0
XAGE5,0,0,0,0,0,0,0,0,0
XBP1,3759,4413,3468,2946,3400,4640,4246,3389,4160
XCL1,2,9,1,1,1,3,3,2,1
XCL2,0,1,0,0,0,0,0,0,0
XCR1,0,0,0,0,0,0,0,0,0
XDH,1,2,0,0,0,1,1,1,0
XG,6,8,2,2,4,3,3,2,3
XIAP,3708,3531,4184,2681,3189,2646,2225,2447,3160
XIAP-AS1,0,0,0,0,0,0,0,0,0
XIRP1,9,4,3,2,3,8,13,12,16
XIRP2,55,13,34,15,12,14,7,33,41
XIRP2-AS1,0,0,0,0,0,0,0,0,0
XIST,100053,111187,144979,93202,102913,80387,68277,83769,96689
XK,2,5,1,1,1,3,3,2,2
XKR3,0,0,0,0,0,0,0,0,0
XKR4,1,1,2,0,2,0,0,0,0
XKR5,148,307,86,210,207,187,132,199,176
XKR6,3,0,0,0,1,0,0,1,0
XKR7,8,3,11,6,3,5,4,11,6
XKR8,0,0,0,0,0,0,0,0,1
XKR9,177,250,205,177,180,191,131,144,197
XKRX,3,2,5,0,4,1,4,1,1
XPA,1483,1202,2160,620,767,652,576,590,757
XPC,5052,4735,6938,3571,4088,3004,2898,3054,3590
XPNPEP1,4764,5909,5025,3198,3644,4667,4263,3371,4008
XPNPEP2,21,36,4,2,1,12,2,5,7
XPNPEP3,6533,5366,8138,4181,4786,3575,3426,3844,4680
XPO1,51758,52048,61492,50102,54762,45435,37791,46059,56150
XPO4,7911,8168,9485,6572,7234,6086,5505,5779,7145
XPO5,9303,7226,12816,8686,9941,5940,5619,7767,9335
XPO6,11461,10488,14905,9905,11392,8960,8664,9482,11193
XPO7,15627,14396,18652,14053,15728,11927,11100,13513,15637
XPOT,35552,31135,43990,21094,24214,20077,18887,19091,23382
XPR1,4068,3969,5354,3551,4002,3112,2796,3337,4001
XRCC1,4292,4406,5036,2326,2673,2870,2904,2491,2829
XRCC2,5256,5649,7228,5969,6561,4014,3755,4601,5694
XRCC3,3212,3090,4669,2692,3222,1941,2168,2530,2691
XRCC4,2188,2466,2215,1135,1190,1874,1508,1215,1489
XRCC5,45332,38921,55621,40437,46216,34649,33163,37426,45854
XRCC6,31488,25400,39809,26722,30437,22482,22086,25202,30091
XRCC6BP1,557,526,653,319,387,413,328,326,347
XRN1,32501,29186,44258,30251,32627,25282,21132,26902,31494
XRN2,15828,15997,18566,13958,15756,11867,11192,12832,15423
XRRA1,2186,2141,2954,1322,1549,1565,1364,1243,1459
XX-C2158C12.1,1,0,5,4,3,3,0,1,2
XX-C2158C12.2,3,6,5,6,3,3,2,5,4
XX-C2158C6.1,0,0,1,0,0,0,0,0,0
XX-C2158C6.3,8,0,3,0,0,0,0,0,0
XX-C283C717.1,3,1,1,3,0,1,2,1,1
XX-CR54.1,0,0,0,0,0,0,0,0,0
XX-CR54.3,0,0,0,0,0,0,0,1,0
XX-DJ76P10__A.2,1,0,7,1,0,0,0,0,1
XX-FW80269A6.1,3,1,6,2,2,1,2,0,2
XX-FW81066F1.2,0,0,0,0,0,0,0,0,0
XX-FW83128A1.2,16,9,13,3,9,3,4,3,3
XXYLT1,3058,3754,3033,2507,3011,2389,2163,2388,2795
XXYLT1-AS1,0,1,0,0,0,1,0,0,0
XXYLT1-AS2,0,2,1,0,1,0,0,1,0
XXbac-B135H6.15,6,2,9,12,13,6,10,16,10
XXbac-B135H6.18,33,22,50,10,13,6,5,12,12
XXbac-B33L19.3,3,2,1,0,0,0,1,0,0
XXbac-B33L19.4,2,2,0,1,1,2,7,3,1
XXbac-B33L19.6,0,0,0,0,0,0,0,0,0
XXbac-B444P24.13,127,100,163,63,67,72,60,46,58
XXbac-B444P24.14,49,53,49,16,19,8,14,12,23
XXbac-B444P24.8,3,8,2,0,0,1,2,1,0
XXbac-B461K10.4,64,75,94,23,25,38,37,28,42
XXbac-B476C20.13,30,35,30,11,12,17,15,12,16
XXbac-B476C20.14,106,99,110,52,59,40,48,39,60
XXbac-B476C20.17,0,0,0,1,0,0,0,1,0
XXbac-B476C20.9,35,23,29,7,7,8,9,15,8
XXbac-BCX196D17.5,0,0,0,0,0,0,0,0,0
XXbac-BPG13B8.10,0,0,0,0,0,0,0,0,0
XXbac-BPG154L12.4,219,210,280,99,97,80,76,74,88
XXbac-BPG157A10.21,14,28,24,28,18,17,12,10,16
XXbac-BPG170G13.32,0,0,0,0,0,0,0,0,0
XXbac-BPG181B23.4,0,0,0,0,0,0,0,0,0
XXbac-BPG181B23.7,0,0,0,0,0,0,0,0,0
XXbac-BPG181M17.5,0,0,0,0,0,0,0,0,0
XXbac-BPG181M17.6,3,5,12,6,5,5,6,2,4
XXbac-BPG248L24.13,0,0,0,0,0,0,0,0,0
XXbac-BPG249D20.9,1,0,1,5,0,10,3,7,1
XXbac-BPG252P9.10,29,28,31,14,20,5,17,8,15
