,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BCL2L12,2375.842261963144,-0.09630741810311584,0.14254383176865026,-0.6756337114567225,0.49927323240058025,0.7630194477308333
BCL2L13,4307.709486105766,-0.20658121572557314,0.10363536234731521,-1.9933467790005257,0.046223487337055384,0.18583633372873073
BCL2L15,42.51837878798246,-0.7425676630629291,0.35096561124968084,-2.1157846787862593,0.034363124750997245,0.15026640535596694
BCL2L2,3065.4884396414313,0.03449880385517376,0.2017974513693914,0.1709575795980867,0.8642571210458438,0.9521032283629903
BCL2L2-PABPN1,76.83956087243978,-0.3003520923940883,0.3390386674243628,-0.8858933250175507,0.3756750133846998,0.6690797855300962
BCL3,1050.6806739174538,0.20442678564373096,0.257475488970143,0.7939660060901425,0.4272152215223176,0.7123075909081059
BCL6,232.91885584162205,1.8451382682138484,0.19775587140617432,9.33038425152033,1.054877752871333e-20,1.2656626628878519e-18
BCL7A,3054.9075333154256,-0.3295100889399063,0.15936752029586998,-2.067611319597382,0.03867658679856127,0.163619706726199
BCL7B,1544.0494440200328,-0.1319716448783266,0.1819666343587629,-0.7252518866625468,0.46829751652479157,0.742306536937865
BCL7C,1325.9464275274242,0.3156520424647287,0.15583308741193747,2.025577800626624,0.04280806833811822,0.17572306205488472
BCL9,4126.867700129933,-0.009835131207107502,0.10694365026854814,-0.09196554617698503,0.9267254137171357,0.9751348258876772
BCL9L,2349.3812505810833,0.6530996746309452,0.25788390399145095,2.532533688696585,0.011324148752811729,0.0660061664353969
BCLAF1,26095.453936115202,-0.23431976912130667,0.08939463852171495,-2.6211836973241724,0.008762503230915984,0.053998383926408926
BCMO1,2.6790466144070884,-2.8178591405072675,1.7721561509100803,-1.5900738425675258,0.11181816128007332,
BCO2,196.54486705420933,-0.3057961359446193,0.18989811622753638,-1.6103168478944447,0.10732870302182122,0.32713022893183874
BCOR,7930.334129422788,-0.40144872277701066,0.10472037524628991,-3.8335302163771936,0.00012631727633827285,0.0016024593584900513
BCORL1,2871.5252528729925,-0.296535769438656,0.11534148049104956,-2.570937776905569,0.01014235480396889,0.06055314167585383
BCR,2437.3521364581215,-0.1341163076224521,0.17342772287244693,-0.773326809584488,0.43932899322445873,0.7215399981901167
BCS1L,2182.789083457242,-0.29136577845558964,0.1162417185720709,-2.506550849684318,0.01219155203421094,0.06983581877060088
BCYRN1,1033.3023850623806,0.09057551183979343,0.25550856908336067,0.35449109266563505,0.7229708782363973,0.8897403062136585
BDH1,1249.9343639649298,0.37634389991140027,0.202790044713317,1.8558302526311647,0.06347775701111351,0.23168159911862704
BDH2,1779.7168468717227,0.3042049553730926,0.12938130467725853,2.3512280706391966,0.018711560866054296,0.09647376592524033
BDKRB1,50.525884200740585,0.09696304099549324,0.39064540918789764,0.24821241646501652,0.8039700599570228,0.9255344595204914
BDKRB2,42.38410343719352,2.442420549687328,0.4120347482230521,5.927705272966786,3.0719721510622202e-09,1.0046710892069991e-07
BDNF,179.21767547922786,5.70097139350816,0.6077092092346079,9.38108441813539,6.529764086710013e-21,8.077845423292133e-19
BDNF-AS,97.5673135490451,0.5109938107324355,0.24354622561117512,2.0981389034057303,0.0358928768141699,0.1550899796454003
BDP1,13059.363882473868,-0.006672486662006959,0.08012272622557423,-0.08327832783948856,0.93363023230452,0.9775848733628375
BEAN1,82.92118706039118,0.9840176093424913,0.31213640955384175,3.1525242785646697,0.0016186536045884384,0.01402903561470319
BECN1,3076.9429187451933,0.1624502662643618,0.14129003668961665,1.1497644849596123,0.2502408865880256,0.5412148700373228
BEGAIN,200.54071977393517,0.8716727944967525,0.22628817022078726,3.8520475623903336,0.00011713426394789264,0.0015051485668430193
BEND3,1804.7471478496034,-0.14846532391896006,0.14220047146310258,-1.044056481609367,0.29645925852995564,0.5921158295368157
BEND4,70.02594481680373,-2.1397037053048424,0.9574475484242723,-2.2347999207123967,0.025430487068799357,0.12076752764646562
BEND6,66.9361526672618,0.17143649651771153,0.3760340350787059,0.4559068608824969,0.6484569556754073,0.854809529829048
BEND7,459.4409046796837,0.11702025607668717,0.33857270250675353,0.3456281478402795,0.7296221893091815,0.8924222097965172
BEST1,73.82684527011169,0.5590017425726032,0.3944535386052437,1.4171548429992258,0.15643766102333634,0.411866344296337
BEST2,14.691618094806563,-0.4006732069908587,0.6125145212604834,-0.6541448293606492,0.5130185019379812,0.7722443533280783
BEST3,10.318165635800469,3.6429986544533417,0.9960603752928638,3.6574074672754846,0.00025477919093262177,0.002907986903040131
BEST4,1.6629254605646022,0.43648023031824296,2.007860934993763,0.21738568777901884,0.8279077840213986,
BET1,809.8527037497561,0.12735290646209863,0.17823387603250998,0.7145269423354143,0.4749014022876689,0.7463696236914512
BET1L,2369.44790036717,0.09626593773773956,0.12338462633828788,0.7802101493082608,0.43526718931287234,0.7180664797104679
BEX1,1424.8261453338182,-0.24937829514847268,0.22969083435718077,-1.0857128707220285,0.2776060445830948,0.5713563495389671
BEX2,12.19585908898626,-0.4499342386293361,0.7086577359804823,-0.6349105016215163,0.5254867875087664,0.7806368289261585
BFAR,4015.7983114828817,-0.046286527709123955,0.11213967437964115,-0.4127578215754765,0.6797840566423521,0.8690153437834228
BFSP1,31.29466370522658,-0.05709455956181249,0.6232041833015203,-0.09161453194897579,0.9270043051830039,0.9751348258876772
BGLAP,22.947992736001495,0.16581641277012038,0.5079170088541373,0.32646359519285023,0.7440736286038047,0.8986475285832302
BGN,6.956515084576021,0.7471715565911868,1.182172332291616,0.6320326877747262,0.5273655179190455,0.7822049707117839
BHLHA15,1.6511533871553086,-1.9255572573198163,1.754434295886559,-1.0975374009927141,0.2724065404845294,
BHLHB9,1020.1694418502813,-0.056609517446806173,0.1293130225673012,-0.43777120295323424,0.6615521480794344,0.8605103274097502
BHLHE23,12.239767212239945,1.2039045311655543,0.6871395462654281,1.752052458206954,0.07976478807099405,0.27015034874879595
BHLHE40,227.32813451494061,-0.23487903560562243,1.3426607379295479,-0.17493550602203353,,
BHLHE40-AS1,4.9487849229639,-0.3560016639065756,1.6270460123955162,-0.2188024562270558,0.8268039334431144,0.9364730867328973
BHLHE41,8.55889835705222,0.8224870659466355,1.0641395817750536,0.7729127644840292,0.43957400994323703,0.7217043571048926
BICC1,1705.5357189138322,0.5177619607929745,0.16200500930430717,3.1959626619965817,0.0013936514548795733,0.012347578303752875
